Component Name,Version,Type,Licenses,Vulnerabilities,Source
"balanced-match","1.0.2","library","Unknown","TBD",
"brace-expansion","1.1.12","library","Unknown","TBD",
"brace-expansion","2.0.2","library","Unknown","TBD",
"braces","3.0.3","library","Unknown","TBD",
"call-bind","1.0.8","library","Unknown","TBD",
"call-bind-apply-helpers","1.0.2","library","Unknown","TBD",
"call-bound","1.0.4","library","Unknown","TBD",
"callsites","3.1.0","library","Unknown","TBD",
"caniuse-lite","1.0.30001737","library","Unknown","TBD",
"chalk","4.1.2","library","Unknown","TBD",
"chownr","3.0.0","library","Unknown","TBD",
"class-variance-authority","0.7.1","library","Unknown","TBD",
"client-only","0.0.1","library","Unknown","TBD",
"clsx","2.1.1","library","Unknown","TBD",
"color","4.2.3","library","Unknown","TBD",
"color-convert","2.0.1","library","Unknown","TBD",
"color-name","1.1.4","library","Unknown","TBD",
"color-string","1.9.1","library","Unknown","TBD",
"concat-map","0.0.1","library","Unknown","TBD",
"cross-spawn","7.0.6","library","Unknown","TBD",
"csstype","3.1.3","library","Unknown","TBD",
"damerau-levenshtein","1.0.8","library","Unknown","TBD",
"data-view-buffer","1.0.2","library","Unknown","TBD",
"data-view-byte-length","1.0.2","library","Unknown","TBD",
"data-view-byte-offset","1.0.1","library","Unknown","TBD",
"debug","3.2.7","library","Unknown","TBD",
"debug","4.4.1","library","Unknown","TBD",
"deep-is","0.1.4","library","Unknown","TBD",
"define-data-property","1.1.4","library","Unknown","TBD",
"define-properties","1.2.1","library","Unknown","TBD",
"detect-libc","2.0.4","library","Unknown","TBD",
"doctrine","2.1.0","library","Unknown","TBD",
"dunder-proto","1.0.1","library","Unknown","TBD",
"emoji-regex","9.2.2","library","Unknown","TBD",
"enhanced-resolve","5.18.3","library","Unknown","TBD",
"es-abstract","1.24.0","library","Unknown","TBD",
"es-define-property","1.0.1","library","Unknown","TBD",
"es-errors","1.3.0","library","Unknown","TBD",
"es-iterator-helpers","1.2.1","library","Unknown","TBD",
"es-object-atoms","1.1.1","library","Unknown","TBD",
"es-set-tostringtag","2.1.0","library","Unknown","TBD",
"es-shim-unscopables","1.1.0","library","Unknown","TBD",
"es-to-primitive","1.3.0","library","Unknown","TBD",
"escape-string-regexp","4.0.0","library","Unknown","TBD",
"eslint","9.34.0","library","Unknown","TBD",
"eslint-config-next","15.5.0","library","Unknown","TBD",
"eslint-import-resolver-node","0.3.9","library","Unknown","TBD",
"eslint-import-resolver-typescript","3.10.1","library","Unknown","TBD",
"eslint-module-utils","2.12.1","library","Unknown","TBD",
"eslint-plugin-import","2.32.0","library","Unknown","TBD",
"eslint-plugin-jsx-a11y","6.10.2","library","Unknown","TBD",
"eslint-plugin-react","7.37.5","library","Unknown","TBD",
"eslint-plugin-react-hooks","5.2.0","library","Unknown","TBD",
"eslint-scope","8.4.0","library","Unknown","TBD",
"eslint-visitor-keys","3.4.3","library","Unknown","TBD",
"eslint-visitor-keys","4.2.1","library","Unknown","TBD",
"espree","10.4.0","library","Unknown","TBD",
"esquery","1.6.0","library","Unknown","TBD",
"esrecurse","4.3.0","library","Unknown","TBD",
"estraverse","5.3.0","library","Unknown","TBD",
"esutils","2.0.3","library","Unknown","TBD",
"fast-deep-equal","3.1.3","library","Unknown","TBD",
"fast-glob","3.3.1","library","Unknown","TBD",
"fast-glob","3.3.3","library","Unknown","TBD",
"fast-json-stable-stringify","2.1.0","library","Unknown","TBD",
"fast-levenshtein","2.0.6","library","Unknown","TBD",
"fastq","1.19.1","library","Unknown","TBD",
"fdir","6.5.0","library","Unknown","TBD",
"file-entry-cache","8.0.0","library","Unknown","TBD",
"fill-range","7.1.1","library","Unknown","TBD",
"find-up","5.0.0","library","Unknown","TBD",
"flat-cache","4.0.1","library","Unknown","TBD",
"flatted","3.3.3","library","Unknown","TBD",
"for-each","0.3.5","library","Unknown","TBD",
"function-bind","1.1.2","library","Unknown","TBD",
"function.prototype.name","1.1.8","library","Unknown","TBD",
"functions-have-names","1.2.3","library","Unknown","TBD",
"get-intrinsic","1.3.0","library","Unknown","TBD",
"get-proto","1.0.1","library","Unknown","TBD",
"get-symbol-description","1.1.0","library","Unknown","TBD",
"get-tsconfig","4.10.1","library","Unknown","TBD",
"glob-parent","5.1.2","library","Unknown","TBD",
"glob-parent","6.0.2","library","Unknown","TBD",
"globals","14.0.0","library","Unknown","TBD",
"globalthis","1.0.4","library","Unknown","TBD",
"gopd","1.2.0","library","Unknown","TBD",
"graceful-fs","4.2.11","library","Unknown","TBD",
"graphemer","1.4.0","library","Unknown","TBD",
"has-bigints","1.1.0","library","Unknown","TBD",
"has-flag","4.0.0","library","Unknown","TBD",
"has-property-descriptors","1.0.2","library","Unknown","TBD",
"has-proto","1.2.0","library","Unknown","TBD",
"has-symbols","1.1.0","library","Unknown","TBD",
"has-tostringtag","1.0.2","library","Unknown","TBD",
"hasown","2.0.2","library","Unknown","TBD",
"ignore","5.3.2","library","Unknown","TBD",
"ignore","7.0.5","library","Unknown","TBD",
"import-fresh","3.3.1","library","Unknown","TBD",
"imurmurhash","0.1.4","library","Unknown","TBD",
"internal-slot","1.1.0","library","Unknown","TBD",
"is-array-buffer","3.0.5","library","Unknown","TBD",
"is-arrayish","0.3.2","library","Unknown","TBD",
"is-async-function","2.1.1","library","Unknown","TBD",
"is-bigint","1.1.0","library","Unknown","TBD",
"is-boolean-object","1.2.2","library","Unknown","TBD",
"is-bun-module","2.0.0","library","Unknown","TBD",
"is-callable","1.2.7","library","Unknown","TBD",
"is-core-module","2.16.1","library","Unknown","TBD",
"is-data-view","1.0.2","library","Unknown","TBD",
"is-date-object","1.1.0","library","Unknown","TBD",
"is-extglob","2.1.1","library","Unknown","TBD",
"is-finalizationregistry","1.1.1","library","Unknown","TBD",
"is-generator-function","1.1.0","library","Unknown","TBD",
"is-glob","4.0.3","library","Unknown","TBD",
"is-map","2.0.3","library","Unknown","TBD",
"is-negative-zero","2.0.3","library","Unknown","TBD",
"is-number","7.0.0","library","Unknown","TBD",
"is-number-object","1.1.1","library","Unknown","TBD",
"is-regex","1.2.1","library","Unknown","TBD",
"is-set","2.0.3","library","Unknown","TBD",
"is-shared-array-buffer","1.0.4","library","Unknown","TBD",
"is-string","1.1.1","library","Unknown","TBD",
"is-symbol","1.1.1","library","Unknown","TBD",
"is-typed-array","1.1.15","library","Unknown","TBD",
"is-weakmap","2.0.2","library","Unknown","TBD",
"is-weakref","1.1.1","library","Unknown","TBD",
"is-weakset","2.0.4","library","Unknown","TBD",
"isarray","2.0.5","library","Unknown","TBD",
"isexe","2.0.0","library","Unknown","TBD",
"iterator.prototype","1.1.5","library","Unknown","TBD",
"jiti","2.5.1","library","Unknown","TBD",
"js-tokens","4.0.0","library","Unknown","TBD",
"js-yaml","4.1.0","library","Unknown","TBD",
"json-buffer","3.0.1","library","Unknown","TBD",
"json-schema-traverse","0.4.1","library","Unknown","TBD",
"json-stable-stringify-without-jsonify","1.0.1","library","Unknown","TBD",
"json5","1.0.2","library","Unknown","TBD",
"jsx-ast-utils","3.3.5","library","Unknown","TBD",
"keyv","4.5.4","library","Unknown","TBD",
"language-subtag-registry","0.3.23","library","Unknown","TBD",
"language-tags","1.0.9","library","Unknown","TBD",
"levn","0.4.1","library","Unknown","TBD",
"lightningcss","1.30.1","library","Unknown","TBD",
"lightningcss-darwin-arm64","1.30.1","library","Unknown","TBD",
"lightningcss-darwin-x64","1.30.1","library","Unknown","TBD",
"lightningcss-freebsd-x64","1.30.1","library","Unknown","TBD",
"lightningcss-linux-arm-gnueabihf","1.30.1","library","Unknown","TBD",
"lightningcss-linux-arm64-gnu","1.30.1","library","Unknown","TBD",
"lightningcss-linux-arm64-musl","1.30.1","library","Unknown","TBD",
"lightningcss-linux-x64-gnu","1.30.1","library","Unknown","TBD",
"lightningcss-linux-x64-musl","1.30.1","library","Unknown","TBD",
"lightningcss-win32-arm64-msvc","1.30.1","library","Unknown","TBD",
"lightningcss-win32-x64-msvc","1.30.1","library","Unknown","TBD",
"ljharb/actions/.github/workflows/node.yml","main","library","Unknown","TBD",
"ljharb/actions/.github/workflows/node.yml","main","library","Unknown","TBD",
"ljharb/actions/.github/workflows/pretest.yml","main","library","Unknown","TBD",
"ljharb/actions/.github/workflows/rebase.yml","main","library","Unknown","TBD",
"ljharb/require-allow-edits","main","library","Unknown","TBD",
"locate-path","6.0.0","library","Unknown","TBD",
"lodash.merge","4.6.2","library","Unknown","TBD",
"loose-envify","1.4.0","library","Unknown","TBD",
"lucide-react","0.541.0","library","Unknown","TBD",
"magic-string","0.30.18","library","Unknown","TBD",
"math-intrinsics","1.1.0","library","Unknown","TBD",
"merge2","1.4.1","library","Unknown","TBD",
"micromatch","4.0.8","library","Unknown","TBD",
"minimatch","3.1.2","library","Unknown","TBD",
"minimatch","9.0.5","library","Unknown","TBD",
"minimist","1.2.8","library","Unknown","TBD",
"minipass","7.1.2","library","Unknown","TBD",
"minizlib","3.0.2","library","Unknown","TBD",
"mkdirp","3.0.1","library","Unknown","TBD",
"ms","2.1.3","library","Unknown","TBD",
"nanoid","3.3.11","library","Unknown","TBD",
"napi-postinstall","0.3.3","library","Unknown","TBD",
"natural-compare","1.4.0","library","Unknown","TBD",
"next","15.5.0","library","Unknown","TBD",
"object-assign","4.1.1","library","Unknown","TBD",
"object-inspect","1.13.4","library","Unknown","TBD",
"object-keys","1.1.1","library","Unknown","TBD",
"object.assign","4.1.7","library","Unknown","TBD",
"object.entries","1.1.9","library","Unknown","TBD",
"object.fromentries","2.0.8","library","Unknown","TBD",
"object.groupby","1.0.3","library","Unknown","TBD",
"object.values","1.2.1","library","Unknown","TBD",
"optionator","0.9.4","library","Unknown","TBD",
"own-keys","1.0.1","library","Unknown","TBD",
"p-limit","3.1.0","library","Unknown","TBD",
"p-locate","5.0.0","library","Unknown","TBD",
"parent-module","1.0.1","library","Unknown","TBD",
"path-exists","4.0.0","library","Unknown","TBD",
"path-key","3.1.1","library","Unknown","TBD",
